Time (ms), accX, accY, accZ, gyroX, gyroY, gyroZ, tempC, Packet Error
686500, -9.6, -0.1, -0.1, -0.08, -0.08, -0.08, 29.65, 0
686718, -9.61, -0.1, -0.1, -0.1, -0.1, -0.1, 29.56, 0
686913, -9.65, -0.1, -0.1, -0.24, -0.24, -0.24, 29.61, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
687258, -9.62, -0.1, -0.1, -0.13, -0.13, -0.13, 29.65, 0
687447, -9.62, -0.1, -0.1, -0.23, -0.23, -0.23, 29.56, 0
687588, -9.59, -0.1, -0.1, -0.19, -0.19, -0.19, 29.65, 0
687789, -9.57, -0.1, -0.1, -0.12, -0.12, -0.12, 29.56, 0
687978, -9.69, -0.1, -0.1, -0.14, -0.14, -0.14, 29.61, 0
688173, -9.68, -0.1, -0.1, -0.12, -0.12, -0.12, 29.61, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
688520, -9.63, -0.1, -0.1, -0.05, -0.05, -0.05, 29.56, 0
688708, -9.68, -0.1, -0.1, -0.1, -0.1, -0.1, 29.56, 0
688925, -9.62, -0.1, -0.1, -0.15, -0.15, -0.15, 29.56, 0
689120, -9.63, -0.1, -0.1, -0.16, -0.16, -0.16, 29.61, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
689465, -9.61, -0.1, -0.1, -0.11, -0.11, -0.11, 29.51, 0
689654, -9.61, -0.1, -0.1, -0.21, -0.21, -0.21, 29.61, 0
689870, -9.67, -0.1, -0.1, -0.11, -0.11, -0.11, 29.47, 0
690065, -9.64, -0.1, -0.1, -0.2, -0.2, -0.2, 29.56, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
690410, -9.63, -0.1, -0.1, -0.13, -0.13, -0.13, 29.61, 0
690599, -9.59, -0.1, -0.1, -0.13, -0.13, -0.13, 29.51, 0
690815, -9.62, -0.1, -0.1, -0.11, -0.11, -0.11, 29.51, 0
691010, -9.66, -0.1, -0.1, -0.09, -0.09, -0.09, 29.56, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
691355, -9.63, -0.1, -0.1, -0.13, -0.13, -0.13, 29.65, 0
691543, -9.64, -0.1, -0.1, -0.1, -0.1, -0.1, 29.51, 0
691759, -9.58, -0.1, -0.1, -0.18, -0.18, -0.18, 29.56, 0
691954, -9.66, -0.1, -0.1, -0.03, -0.03, -0.03, 29.61, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
692299, -9.63, -0.1, -0.1, -0.18, -0.18, -0.18, 29.56, 0
692488, -9.6, -0.1, -0.1, -0.21, -0.21, -0.21, 29.56, 0
692686, -9.62, -0.1, -0.1, -0.12, -0.12, -0.12, 29.56, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
693031, -9.66, -0.1, -0.1, -0.07, -0.07, -0.07, 29.7, 0
693220, -9.58, -0.1, -0.1, -0.22, -0.22, -0.22, 29.61, 0
693436, -9.63, -0.1, -0.1, -0.11, -0.11, -0.11, 29.51, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
693849, -9.66, -0.1, -0.1, -0.16, -0.16, -0.16, 29.47, 0
694050, -9.65, -0.1, -0.1, -0.23, -0.23, -0.23, 29.56, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
694395, -9.63, -0.1, -0.1, -0.21, -0.21, -0.21, 29.51, 0
694585, -9.65, -0.1, -0.1, -0.2, -0.2, -0.2, 29.61, 0
694802, -9.65, -0.1, -0.1, -0.13, -0.13, -0.13, 29.56, 0
694997, -9.64, -0.1, -0.1, -0.2, -0.2, -0.2, 29.65, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
695342, -9.63, -0.1, -0.1, -0.23, -0.23, -0.23, 29.56, 0
695531, -9.62, -0.1, -0.1, -0.07, -0.07, -0.07, 29.47, 0
695747, -9.6, -0.1, -0.1, -0.22, -0.22, -0.22, 29.51, 0
695942, -9.65, -0.1, -0.1, -0.09, -0.09, -0.09, 29.51, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
696287, -9.62, -0.1, -0.1, -0.06, -0.06, -0.06, 29.65, 0
696476, -9.64, -0.1, -0.1, -0.12, -0.12, -0.12, 29.47, 0
696696, -9.67, -0.1, -0.1, -0.2, -0.2, -0.2, 29.56, 0
696891, -9.61, -0.1, -0.1, -0.22, -0.22, -0.22, 29.51, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
697236, -9.66, -0.1, -0.1, -0.17, -0.17, -0.17, 29.51, 0
697425, -9.63, -0.1, -0.1, -0.06, -0.06, -0.06, 29.47, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
697845, -9.64, -0.1, -0.1, -0.21, -0.21, -0.21, 29.51, 0
698046, -9.59, -0.1, -0.1, -0.28, -0.28, -0.28, 29.51, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
698391, -9.65, -0.1, -0.1, -0.08, -0.08, -0.08, 29.51, 0
698581, -9.66, -0.1, -0.1, -0.26, -0.26, -0.26, 29.56, 0
698777, -9.6, -0.1, -0.1, -0.27, -0.27, -0.27, 29.56, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
699122, -9.66, -0.1, -0.1, -0.17, -0.17, -0.17, 29.51, 0
699311, -9.58, -0.1, -0.1, -0.1, -0.1, -0.1, 29.51, 0
